Model,Literature data,Parameter,Sample size,Medium difference,Medium error,Standard deviation difference
Th-MaStar(MPL7),UsherGC,Age (log Gyr),81,-0.23,0.17,0.54
Th-MaStar(MPL7),UsherGC,[Z/H],81,-0.04,0.01,0.33
Th-MaStar(MPL7),DeAngeli_GB,Age (log Gyr),23,-0.02,0.03,0.21
Th-MaStar(MPL7),DeAngeli_GB,[Z/H],23,-0.16,0.17,0.28
Th-MaStar(MPL7),DeAngeli_HST,Age (log Gyr),36,-0.02,0.07,0.26
Th-MaStar(MPL7),DeAngeli_HST,[Z/H],36,-0.06,0.09,0.28
Th-MaStar(MPL9),UsherGC,Age (log Gyr),81,-0.17,0.26,0.51
Th-MaStar(MPL9),UsherGC,[Z/H],81,-0.19,0.15,0.36
Th-MaStar(MPL9),DeAngeli_GB,Age (log Gyr),23,0.01,0.08,0.28
Th-MaStar(MPL9),DeAngeli_GB,[Z/H],23,-0.26,0.2,0.33
Th-MaStar(MPL9),DeAngeli_HST,Age (log Gyr),36,-0.08,0.19,0.48
Th-MaStar(MPL9),DeAngeli_HST,[Z/H],36,-0.17,0.2,0.31
Th-MaStar(MPL11),UsherGC,Age (log Gyr),81,-0.21,0.25,0.44
Th-MaStar(MPL11),UsherGC,[Z/H],81,-0.07,0.04,0.38
Th-MaStar(MPL11),DeAngeli_GB,Age (log Gyr),23,-0.06,0.16,0.57
Th-MaStar(MPL11),DeAngeli_GB,[Z/H],23,-0.12,0.07,0.38
Th-MaStar(MPL11),DeAngeli_HST,Age (log Gyr),36,-0.04,0.08,0.23
Th-MaStar(MPL11),DeAngeli_HST,[Z/H],36,-0.07,0.05,0.35
E-MaStar(MPL7),UsherGC,Age (log Gyr),81,-0.25,0.22,0.51
E-MaStar(MPL7),UsherGC,[Z/H],81,-0.01,0.04,0.54
E-MaStar(MPL7),DeAngeli_GB,Age (log Gyr),23,-0.05,0.15,0.33
E-MaStar(MPL7),DeAngeli_GB,[Z/H],23,-0.17,0.09,0.32
E-MaStar(MPL7),DeAngeli_HST,Age (log Gyr),36,-0.06,0.19,0.35
E-MaStar(MPL7),DeAngeli_HST,[Z/H],36,-0.03,0.09,0.63
E-Conroy,UsherGC,Age (log Gyr),81,-0.17,0.05,0.66
E-Conroy,UsherGC,[Z/H],81,0.17,0.3,0.56
E-Conroy,DeAngeli_GB,Age (log Gyr),23,0.05,0.04,0.31
E-Conroy,DeAngeli_GB,[Z/H],23,0.12,0.19,0.24
E-Conroy,DeAngeli_HST,Age (log Gyr),36,0.02,0.1,0.33
E-Conroy,DeAngeli_HST,[Z/H],36,0.21,0.43,0.56
